adAverage,adChange,adClose,adHigh,adLow,adOpen,average,basicPrice,ceilingPrice,change,close,code,date,floor,floorPrice,high,low,nmValue,nmVolume,open,pctChange,ptValue,ptVolume,time,type
20.26,-0.05,20.2,20.3,20.2,20.25,20.26,20.25,21.65,-0.05,20.2,PSH,2021-04-07,HOSE,18.85,20.3,20.2,2430675000.0,120000.0,20.25,-0.2469,0.0,0.0,15:04:03,STOCK
20.18,0.15,20.25,20.25,20.1,20.1,20.18,20.1,21.5,0.15,20.25,PSH,2021-04-06,HOSE,18.7,20.25,20.1,3605850000.0,178700.0,20.1,0.7463,0.0,0.0,15:04:03,STOCK
19.9,0.3,20.1,20.15,19.75,19.8,19.9,19.8,21.15,0.3,20.1,PSH,2021-04-05,HOSE,18.45,20.15,19.75,4521915000.0,227200.0,19.8,1.5152,369000000.0,20000.0,15:04:03,STOCK
19.74,0.05,19.8,19.8,19.7,19.75,19.74,19.75,21.1,0.05,19.8,PSH,2021-04-02,HOSE,18.4,19.8,19.7,3079415000.0,156000.0,19.75,0.2532,0.0,0.0,15:04:02,STOCK
19.76,0.0,19.75,19.8,19.7,19.75,19.76,19.75,21.1,0.0,19.75,PSH,2021-04-01,HOSE,18.4,19.8,19.7,2313365000.0,117100.0,19.75,0.0,0.0,0.0,15:04:03,STOCK
19.77,0.0,19.75,19.85,19.7,19.75,19.77,19.75,21.1,0.0,19.75,PSH,2021-03-31,HOSE,18.4,19.85,19.7,2973890000.0,150400.0,19.75,0.0,0.0,0.0,15:03:01,STOCK
19.74,-0.05,19.75,19.8,19.7,19.8,19.74,19.8,21.15,-0.05,19.75,PSH,2021-03-30,HOSE,18.45,19.8,19.7,2466925000.0,125000.0,19.8,-0.2525,0.0,0.0,15:03:03,STOCK
19.74,0.15,19.8,19.8,19.65,19.65,19.74,19.65,21.0,0.15,19.8,PSH,2021-03-29,HOSE,18.3,19.8,19.65,4096050000.0,207500.0,19.65,0.7634,0.0,0.0,15:03:03,STOCK
19.55,0.0,19.65,19.65,19.4,19.6,19.55,19.65,21.0,0.0,19.65,PSH,2021-03-26,HOSE,18.3,19.65,19.4,2799895000.0,143200.0,19.6,0.0,0.0,0.0,15:03:01,STOCK
19.63,-0.05,19.65,19.8,19.55,19.7,19.63,19.7,21.05,-0.05,19.65,PSH,2021-03-25,HOSE,18.35,19.8,19.55,2725140000.0,138800.0,19.7,-0.2538,0.0,0.0,15:03:03,STOCK
19.79,-0.2,19.7,19.95,19.55,19.85,19.79,19.9,21.25,-0.2,19.7,PSH,2021-03-24,HOSE,18.55,19.95,19.55,2170840000.0,109700.0,19.85,-1.005,0.0,0.0,15:03:02,STOCK
20.01,-0.2,19.9,20.1,19.8,20.1,20.01,20.1,21.5,-0.2,19.9,PSH,2021-03-23,HOSE,18.7,20.1,19.8,2543310000.0,127100.0,20.1,-0.995,0.0,0.0,15:03:02,STOCK
9.14634146,-0.4,9.0,9.41,9.0,9.4,9.14634146,9.4,10.05,-0.4,9.0,SVD,2021-04-22,HOSE,8.75,9.41,9.0,2250000000.0,246000.0,9.4,-4.2553,0.0,0.0,14:46:39,STOCK
9.49,-0.4,9.4,9.8,9.3,9.6,9.49,9.8,10.45,-0.4,9.4,SVD,2021-04-20,HOSE,9.12,9.8,9.3,1965700000.0,207200.0,9.6,-4.0816,0.0,0.0,15:04:03,STOCK
9.84,-0.25,9.8,10.2,9.48,10.15,9.84,10.05,10.75,-0.25,9.8,SVD,2021-04-19,HOSE,9.35,10.2,9.48,2366482000.0,240400.0,10.15,-2.4876,0.0,0.0,15:04:03,STOCK
10.6,-0.45,10.05,11.0,10.0,11.0,10.6,10.5,11.2,-0.45,10.05,SVD,2021-04-16,HOSE,9.77,11.0,10.0,5628380000.0,531000.0,11.0,-4.2857,0.0,0.0,15:04:02,STOCK
10.45,0.68,10.5,10.5,10.15,10.15,10.45,9.82,10.5,0.68,10.5,SVD,2021-04-15,HOSE,9.14,10.5,10.15,3744005000.0,358200.0,10.15,6.9246,0.0,0.0,15:04:02,STOCK
9.71,0.64,9.82,9.82,9.1,9.19,9.71,9.18,9.82,0.64,9.82,SVD,2021-04-14,HOSE,8.54,9.82,9.1,8171197000.0,841200.0,9.19,6.9717,0.0,0.0,15:04:03,STOCK
9.08,-0.17,9.18,9.6,8.71,9.0,9.08,9.35,10.0,-0.17,9.18,SVD,2021-04-13,HOSE,8.7,9.6,8.71,3644148000.0,401300.0,9.0,-1.8182,0.0,0.0,15:04:04,STOCK
9.41,-0.7,9.35,10.05,9.35,9.4,9.41,10.05,10.75,-0.7,9.35,SVD,2021-04-12,HOSE,9.35,10.05,9.35,9682626000.0,1028600.0,9.4,-6.9652,0.0,0.0,15:04:03,STOCK
